STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,economy_by_counties_clean_properties.county_code_short,economy_by_counties_clean_properties.name,economy_by_counties_clean_properties.employment_perc,economy_by_counties_clean_properties.houselhold_income_med,economy_by_counties_clean_properties.health_insurance_perc,economy_by_counties_clean_properties.poverty_level_perc,economy_by_counties_clean_properties.state,centers_in_counties
01,005,00161528,0500000US01005,01005,Barbour,06,1005,Barbour County,48,33956,87,26.4,Alabama,0
01,023,00161537,0500000US01023,01023,Choctaw,06,1023,Choctaw County,45.4,32622,88.5,21,Alabama,0
01,035,00161543,0500000US01035,01035,Conecuh,06,1035,Conecuh County,47,27609,80.9,32.5,Alabama,0
01,051,00161551,0500000US01051,01051,Elmore,06,1051,Elmore County,56.3,53398,91.2,14.3,Alabama,0
01,065,00161558,0500000US01065,01065,Hale,06,1065,Hale County,47.5,33351,88.9,25.9,Alabama,0
01,109,00161581,0500000US01109,01109,Pike,06,1109,Pike County,58.1,33193,89.4,25.7,Alabama,0
01,113,00161583,0500000US01113,01113,Russell,06,1113,Russell County,59.5,38400,84.8,21.5,Alabama,1
01,117,00161584,0500000US01117,01117,Shelby,06,1117,Shelby County,66.8,72310,91.8,8.5,Alabama,0
02,016,01419965,0500000US02016,02016,Aleutians West,05,2016,Aleutians West Census Area,85.6,86964,78.7,7.7,Alaska,0
04,015,00025445,0500000US04015,04015,Mohave,06,4015,Mohave County,44.6,39856,86,19.3,Arizona,0
05,011,00063757,0500000US05011,05011,Bradley,06,5011,Bradley County,52.1,34665,85.7,28.8,Arkansas,0
05,015,00066975,0500000US05015,05015,Carroll,06,5015,Carroll County,55.4,38145,83.4,17.5,Arkansas,0
05,019,00066845,0500000US05019,05019,Clark,06,5019,Clark County,57.9,35595,88.9,24,Arkansas,0
05,025,00063760,0500000US05025,05025,Cleveland,06,5025,Cleveland County,52.5,42429,90.5,20,Arkansas,0
05,063,00069163,0500000US05063,05063,Independence,06,5063,Independence County,57.4,37592,87,19.2,Arkansas,0
05,067,00066861,0500000US05067,05067,Jackson,06,5067,Jackson County,41.2,31245,86.3,27.1,Arkansas,0
05,091,00069166,0500000US05091,05091,Miller,06,5091,Miller County,59.4,39955,84.4,20.6,Arkansas,1
05,121,00069178,0500000US05121,05121,Randolph,06,5121,Randolph County,51.6,36318,86.2,19.6,Arkansas,0
06,001,01675839,0500000US06001,06001,Alameda,06,6001,Alameda County,66.6,79831,91.6,12,California,0
06,005,01675841,0500000US06005,06005,Amador,06,6005,Amador County,45.6,57032,93,11.2,California,0
06,013,01675903,0500000US06013,06013,Contra Costa,06,6013,Contra Costa County,64.5,82881,91.5,10.2,California,0
06,023,01681908,0500000US06023,06023,Humboldt,06,6023,Humboldt County,59,42685,85.6,21,California,0
06,037,00277283,0500000US06037,06037,Los Angeles,06,6037,Los Angeles County,64.4,57952,84.1,17.8,California,4
06,047,00277288,0500000US06047,06047,Merced,06,6047,Merced County,59.4,44397,87,24.2,California,0
06,067,00277298,0500000US06067,06067,Sacramento,06,6067,Sacramento County,62.4,57509,89.6,17.9,California,1
06,085,00277307,0500000US06085,06085,Santa Clara,06,6085,Santa Clara County,67.2,101173,92.3,9.3,California,0
06,115,00277322,0500000US06115,06115,Yuba,06,6115,Yuba County,58.1,48739,87.8,20.8,California,0
08,013,00198122,0500000US08013,08013,Boulder,06,8013,Boulder County,69.1,72282,92.6,13.4,Colorado,1
08,029,00198130,0500000US08029,08029,Delta,06,8029,Delta County,50.6,42011,84,16.8,Colorado,0
08,049,00198140,0500000US08049,08049,Grand,06,8049,Grand County,73.7,67623,82.4,10.6,Colorado,0
08,091,00198161,0500000US08091,08091,Ouray,06,8091,Ouray County,62.1,62800,87.6,9.2,Colorado,0
09,009,00212798,0500000US09009,09009,New Haven,06,9009,New Haven County,65.7,62715,92.9,12.8,Connecticut,0
11,001,01702382,0500000US11001,11001,District of Columbia,00,11001,District of Columbia,69.4,72935,94.8,17.9,District of Columbia,0
12,009,00295749,0500000US12009,12009,Brevard,06,12009,Brevard County,55.2,49914,86.8,14,Florida,1
12,023,00306909,0500000US12023,12023,Columbia,06,12023,Columbia County,52.1,42848,85.5,19.4,Florida,0
12,039,00306918,0500000US12039,12039,Gadsden,06,12039,Gadsden County,49.2,38533,84.2,25.6,Florida,0
12,065,00295733,0500000US12065,12065,Jefferson,06,12065,Jefferson County,43.9,41696,90,15.8,Florida,0
12,073,00306916,0500000US12073,12073,Leon,06,12073,Leon County,66.2,48248,89.8,21.3,Florida,1
12,095,00295750,0500000US12095,12095,Orange,06,12095,Orange County,67.4,49391,82.1,17.3,Florida,7
12,107,00306910,0500000US12107,12107,Putnam,06,12107,Putnam County,48.3,33003,80.8,27,Florida,0
12,117,00303665,0500000US12117,12117,Seminole,06,12117,Seminole County,65.6,58538,86.4,12.1,Florida,1
12,123,00295728,0500000US12123,12123,Taylor,06,12123,Taylor County,41.1,36195,86.1,14.8,Florida,0
12,133,00295762,0500000US12133,12133,Washington,06,12133,Washington County,47.5,38330,86.5,20.5,Florida,0
