,AFFGEOID,Zugeschnitten_area_full,Zugeschnitten_area_clipped,Anzahl_centers_in_counties
0,0500000US01005,2356503834.994,,0
1,0500000US01023,2399576218.588,,0
2,0500000US01035,,,0
3,0500000US01051,1711381994.665,1.711.381.995,0
4,0500000US01065,1709143340.756,1.709.143.341,0
5,0500000US01109,1753476675.082,1.753.476.675,0
6,0500000US01113,1686039156.377,1.686.039.156,1
7,0500000US01117,2107811216.161,2.107.811.216,0
8,0500000US02016,,,0
9,0500000US04015,35014399581.942,,0
10,0500000US05011,1699904785.335,61.792.972,0
11,0500000US05015,1660500331.6820002,1.633.771.113,0
12,0500000US05019,2298178213.356,,0
13,0500000US05025,1558685244.471,254.711.646,0
14,0500000US05063,2007024607.0229998,884.671.754,0
15,0500000US05067,1668183799.051,1.553.915.565,0
16,0500000US05091,1660456835.8,1.660.456.836,1
17,0500000US05121,1705893790.7229998,1.463.063.028,0
18,0500000US06001,1950952851.3920002,513.002,0
19,0500000US06005,1574349395.064,1.107.150.669,0
20,0500000US06013,1977069121.2779999,891.004.228,0
21,0500000US06023,,,0
22,0500000US06037,10673578225.728,,4
23,0500000US06047,,,0
24,0500000US06067,2583117251.762,,1
25,0500000US06085,,,0
26,0500000US06115,1672427702.15,754.506.182,0
27,0500000US08013,1922398970.641,1.922.398.971,1
28,0500000US08029,2983411053.8659997,,0
29,0500000US08049,4852971385.056,,0
30,0500000US08091,,,0
31,0500000US09009,,,0
32,0500000US11001,177432429.426,177.432.429,0
33,0500000US12009,3378933422.47,,1
34,0500000US12023,2089217908.576,2.023.190.196,0
35,0500000US12039,1377951081.335,1.377.951.081,0
36,0500000US12065,1597612276.08,1.597.612.276,0
37,0500000US12073,1829409832.7120001,1.829.409.833,1
38,0500000US12095,2616994462.09,,7
39,0500000US12107,2156466834.3,,0
40,0500000US12117,900949279.4480001,900.949.279,1
41,0500000US12123,2746859614.4579997,1.497.435.131,0
42,0500000US12133,1605932813.545,1.084.683.561,0
43,0500000US13009,698414013.921,698.414.014,0
44,0500000US13013,424063692.07199997,424.063.692,0
45,0500000US13027,1297178774.394,1.297.178.774,0
46,0500000US13073,800792945.367,800.792.945,0
47,0500000US13103,1258258916.096,1.258.258.916,0
48,0500000US13149,784292498.0619999,784.292.498,0
49,0500000US13179,1410519652.07,1.410.519.652,0
50,0500000US13189,693651064.768,693.651.065,0
51,0500000US13205,1339410012.935,1.339.410.013,0
52,0500000US13229,,,0
53,0500000US13267,1271865120.426,231.389.993,0
54,0500000US13291,856310802.715,833.959.747,0
55,0500000US13305,1690418953.524,231.624.255,0
56,0500000US13319,1177026084.807,1.177.026.085,0
57,0500000US15007,,,0
58,0500000US16015,4941575527.425,,0
59,0500000US16027,1564484713.427,1.564.484.713,1
60,0500000US16037,,,0
61,0500000US16039,8037587614.551,,0
62,0500000US16043,4912174006.921,,0
