geometry.lat,geometry.long,properties.county,properties.state,properties.address,properties.name,properties.phone
39.7094354,-86.1451759,Marion County,IN,"3902 Madison Avenue Indianapolis, Indiana 46227",Access Plasma dba/Saturn Biomedical,317-786-4470
33.9287318,-84.22121039999999,Gwinnett County,GA,"6290 Jimmy Carter Boulevard, Suite 208, Norcross, Georgia 30071",ADMA BioCenters,678-495-5800
33.9049774,-84.4650671,Cobb County,GA,"3000 Windy Hill Road, Suite 220, Marietta, Georgia 30067",ADMA BioCenters,678-504-7333
39.9377444,-75.0462601,Camden County,NJ,"500 Route 38, Cherry Hill, New Jersey 08002",B Positive Plasma LLC,856-438-5581
38.9634987,-76.9397295,Prince George's County,MD,"6200 Baltimore Avenue, Suite 100, Riverdale Park, Maryland 20737",B Positive Plasma LLC,240-623-1200
39.7209819,-75.11227339999999,Gloucester County,NJ,"812B N Delsea Road, Glassboro, New Jersey 08028",B Positive Plasma LLC,856.442.9100
41.6133323,-87.5149409,IN,US,"5550 Sohl Avenue, Hammond, Indiana 46320",Bio-Blood Components Inc.,219-932-6388
41.5878389,-87.3374113,IN,US,"1504 Broadway, Gary, Indiana 46407",Bio-Blood Components Inc.,219-882-5555
39.9850119,-83.0047051,OH,US,"1112 North High Street, Columbus, Ohio 43201",Bio-Blood Components Inc.,614-294-3183
43.2056928,-86.2714852,Muskegon County,MI,"2585 Barclay Street, Ste C, Muskegon, Michigan 49441","Bio-Blood Components, Inc.",231-755-0389
35.07812300000001,-106.6506374,NM,US,"701 Second Street SW, Albuquerque, New Mexico 87102",Bio-Save Resources of Albuquerque Inc.,505-842-6991
36.1145621,-94.1490255,Washington County,AR,"435 Millsap Road, Fayetteville, Arkansas 72703",BioLife Plasma Services,479-575-9477 x17
27.9503872,-81.97252999999999,FL,US,"6415 S Florida Avenue, Lakeland, Florida 33813",BioLife Plasma Services,863-687-4527
43.4760637,-111.983366,ID,US,"2385 South 25th East, Ammon, Idaho 83406",BioLife Plasma Services,208-542-2406
47.7471159,-116.7928426,ID,US,"8300 North Cornerstone Drive, Hayden, Idaho 83835",BioLife Plasma Services,208-762-2486
41.951356,-88.721443,IL,US,"1455 County Farm Road, DeKalb, Illinois 60115",BioLife Plasma Services,815-754-5777
41.1520425,-85.1376456,IN,US,"7921 Coldwater Road, Ft. Wayne, Indiana 46825",BioLife Plasma Services,260-422-7435
40.4399774,-86.1310496,Howard County,IN,"111 E. Alto Rd., Kokomo, Indiana 46902",BioLife Plasma Services,765-453-5670
40.2204999,-85.4376783,IN,US,"3401 North Marleon Drive, Muncie, Indiana 47304",BioLife Plasma Services,765-288-2699
39.152652,-86.574367,Monroe County,IN,"1565 S Liberty Drive, Bloomington, Indiana 47403",BioLife Plasma Services,812-334-1405
41.7221182,-85.9820524,IN,US,"2715 Emerson Drive, Elkhart, Indiana 46514",BioLife Plasma Services,574-264-7204
42.006991,-93.61556700000001,IA,US,"1618 Golden Aspen Drive, Ames, Iowa 50010",BioLife Plasma Services,515-233-2556 x16
42.4934854,-90.7379109,IA,US,"1220 Associates Drive, Dubuque, Iowa 52001",BioLife Plasma Services,563-583-3637
41.6954337,-91.6037769,IA,US,"2490 Corridor Way, Coralville, Iowa 52241",BioLife Plasma Services,319-351-7939
42.0378628,-91.64791160000001,IA,US,"5950 Rockwell Drive NE, Cedar Rapids, Iowa 52402",BioLife Plasma Services,319-378-9612
42.4845879,-92.4374722,IA,US,"802 Brandilynn Boulevard, Cedar Falls, Iowa 50613",BioLife Plasma Services,319-277-1981
42.4462723,-96.3334912,Woodbury County,IA,"5550 Sergeant Road, Sioux City, Iowa 51106",BioLife Plasma Services,712-274-5906
43.5759931,-84.7616676,Isabella County,MI,"4279 Bluegrass Road, Mt. Pleasant, Michigan 48858",BioLife Plasma Services,989-773-1500
42.9153722,-85.5682265,Kent County,MI,"2670 E Paris Avenue SE, Grand Rapids, Michigan 49546",BioLife Plasma Services,616-285-7900
43.017899,-85.68161599999999,MI,US,"540 Center Drive, Walker, Michigan 49544",BioLife Plasma Services,616-647-4672
46.570466,-87.39469000000001,MI,US,"175 Hawley Street, Marquette, Michigan 49855",BioLife Plasma Services,906-226-9080 x19
45.0994285,-93.1977017,MN,US,"2325 Mounds View Road, Mounds View, Minnesota 55112",BioLife Plasma Services,763-780-2181
44.1699872,-93.9606238,Blue Earth County,MN,"35 Teton Lane, Mankato, Minnesota 56001",BioLife Plasma Services,507-344-0300 x14
45.5788167,-94.1838435,MN,US,"2019 Stearns Way, St. Cloud, Minnesota 56303",BioLife Plasma Services,320-259-6300
46.8445685,-96.7603864,Clay County,MN,"2960 12th Street South, Moorhead, Minnesota 56560",BioLife Plasma Services,218-287-5869
39.0335912,-94.35245859999999,MO,US,"19351 E. Eastland Center Ct., Independence, Missouri 64055",BioLife Plasma Services,816-795-7002
37.0560791,-94.53528879999999,MO,US,"1803 W 32nd Street, Joplin, Missouri 64804",BioLife Plasma Services,417-782-7755
37.156026,-93.266634,MO,US,"1620 East Erie Street, Springfield, Missouri 65804",BioLife Plasma Services,417-862-5013
45.7520091,-108.5733324,MT,US,"2300 Grant Road, Billings, Montana 59102",BioLife Plasma Services,406-655-4927 x20
47.4805647,-111.3466008,MT,US,"1901 Market Place Drive, Great Falls, Montana 59404",BioLife Plasma Services,406-268-0501
46.8919377,-114.0349562,MT,US,"3050 Great Northern Avenue, Missoula, Montana 59808",BioLife Plasma Services,406-721-2584
36.0911294,-79.78176040000001,NC,US,"1409 Yanceyville Street, Greensboro, North Carolina 27405",BioLife Plasma Services,336-315-5425
46.8645703,-96.8215987,ND,US,"2617 12th Avenue S, Fargo, North Dakota 58103",BioLife Plasma Services,701-232-4426
47.9198785,-97.0984343,ND,US,"4770 Technology Circle, Grand Forks, North Dakota 58203",BioLife Plasma Services,701-772-7121 x16
46.8300662,-100.8232539,ND,US,"1800 Burnt Boat Road, Bismarck, North Dakota 58506",BioLife Plasma Services,701-355-0848 x26
40.7786875,-84.18381649999999,OH,US,"4299 Elida Road, Lima, Ohio 45807",BioLife Plasma Services,419-224-0117
41.06523139999999,-83.6181309,OH,US,"1789 E. Melrose Avenue, Findlay, Ohio 45840",BioLife Plasma Services,419-425-8680
41.71749579999999,-81.2963405,Lake County,OH,"5656 Emerald Court, Mentor, Ohio 44060",BioLife Plasma Services,440-392-6111
39.4861705,-84.32908479999999,OH,US,"2850 Towne Boulevard, Middletown, Ohio 45044",BioLife Plasma Services,513-424-1462
36.0631615,-95.7636326,OK,US,"2301 East Hillside Drive, Broken Arrow, Oklahoma 74012",BioLife Plasma Services,918-355-4890
40.791102,-77.8637272,PA,US,"321 West Beaver Avenue, State College, Pennsylvania 16801",BioLife Plasma Services,814-237-5761
32.2661302,-95.3091886,Smith County,TX,"332 West Heritage Drive, Tyler, Texas 75703",BioLife Plasma Services,903-592-1144
33.1870067,-97.09502100000002,TX,US,"3455 Quail Creek Drive, Denton, Texas 76208",BioLife Plasma Services,940-387-7105
30.435833,-97.6703258,TX,US,"14415 Owen Tech Blvd, Austin, Texas 78728",BioLife Plasma Services,512-251-8855
41.083455,-111.978819,UT,US,"781 West Heritage Park Boulevard, Layton, Utah 84401",BioLife Plasma Services,801-825-1700
37.1222073,-113.5249528,UT,US,"816 North 2860 East, St. George, Utah 84790",BioLife Plasma Services,435-627-9102
38.4248125,-78.84773109999999,VA,US,"269 Lucy Drive, Harrisonburg, Virginia 22801",BioLife Plasma Services,
48.7905056,-122.5072407,Whatcom County,WA,"905 Darby Drive, Bellingham, Washington 98226",BioLife Plasma Services,360-756-1700
39.2787204,-80.2796511,Harrison County,WV,"110 Emily Drive, Clarksburg, West Virginia 26301",BioLife Plasma Services,304-626-3701
44.2738948,-88.48223899999999,WI,US,"5001 Schroth Lane, Suite A, Appleton, Wisconsin 54913",BioLife Plasma Services,920-830-1871
43.732794,-87.74934520000001,WI,US,"3114 Union Avenue, Sheboygan, Wisconsin 53081",BioLife Plasma Services,920-803-8244 x14
42.6752062,-88.9804999,Rock County,WI,"444 Midland Road, Janesville, Wisconsin 53546",BioLife Plasma Services,608-741-1705
44.4885119,-87.9197289,WI,US,"3275 Finger Road, Green Bay, Wisconsin 54311",BioLife Plasma Services,920-469-2218
44.49921639999999,-89.5126355,WI,US,"3325 Business Park Drive, Stevens Point, Wisconsin 54482",BioLife Plasma Services,715-343-9630 x16
43.8754162,-91.199079,WI,US,"1278 Rudy St, Onalaska, Wisconsin 54650",BioLife Plasma Services,608-779-4844
