properties.address,properties.name,properties.phone
"3902 Madison Avenue Indianapolis, Indiana 46227",Access Plasma dba/Saturn Biomedical,317-786-4470
"6290 Jimmy Carter Boulevard, Suite 208, Norcross, Georgia 30071",ADMA BioCenters,678-495-5800
"3000 Windy Hill Road, Suite 220, Marietta, Georgia 30067",ADMA BioCenters,678-504-7333
"500 Route 38, Cherry Hill, New Jersey 08002",B Positive Plasma LLC,856-438-5581
"6200 Baltimore Avenue, Suite 100, Riverdale Park, Maryland 20737",B Positive Plasma LLC,240-623-1200
"812B N Delsea Road, Glassboro, New Jersey 08028",B Positive Plasma LLC,856.442.9100
"5550 Sohl Avenue, Hammond, Indiana 46320",Bio-Blood Components Inc.,219-932-6388
"1504 Broadway, Gary, Indiana 46407",Bio-Blood Components Inc.,219-882-5555
"1112 North High Street, Columbus, Ohio 43201",Bio-Blood Components Inc.,614-294-3183
"2585 Barclay Street, Ste C, Muskegon, Michigan 49441","Bio-Blood Components, Inc.",231-755-0389
"701 Second Street SW, Albuquerque, New Mexico 87102",Bio-Save Resources of Albuquerque Inc.,505-842-6991
"435 Millsap Road, Fayetteville, Arkansas 72703",BioLife Plasma Services,479-575-9477 x17
"6415 S Florida Avenue, Lakeland, Florida 33813",BioLife Plasma Services,863-687-4527
"2385 South 25th East, Ammon, Idaho 83406",BioLife Plasma Services,208-542-2406
"8300 North Cornerstone Drive, Hayden, Idaho 83835",BioLife Plasma Services,208-762-2486
"1455 County Farm Road, DeKalb, Illinois 60115",BioLife Plasma Services,815-754-5777
"7921 Coldwater Road, Ft. Wayne, Indiana 46825",BioLife Plasma Services,260-422-7435
"111 E. Alto Rd., Kokomo, Indiana 46902",BioLife Plasma Services,765-453-5670
"3401 North Marleon Drive, Muncie, Indiana 47304",BioLife Plasma Services,765-288-2699
"1565 S Liberty Drive, Bloomington, Indiana 47403",BioLife Plasma Services,812-334-1405
"2715 Emerson Drive, Elkhart, Indiana 46514",BioLife Plasma Services,574-264-7204
"1618 Golden Aspen Drive, Ames, Iowa 50010",BioLife Plasma Services,515-233-2556 x16
"1220 Associates Drive, Dubuque, Iowa 52001",BioLife Plasma Services,563-583-3637
"2490 Corridor Way, Coralville, Iowa 52241",BioLife Plasma Services,319-351-7939
"5950 Rockwell Drive NE, Cedar Rapids, Iowa 52402",BioLife Plasma Services,319-378-9612
"802 Brandilynn Boulevard, Cedar Falls, Iowa 50613",BioLife Plasma Services,319-277-1981
"5550 Sergeant Road, Sioux City, Iowa 51106",BioLife Plasma Services,712-274-5906
"4279 Bluegrass Road, Mt. Pleasant, Michigan 48858",BioLife Plasma Services,989-773-1500
"2670 E Paris Avenue SE, Grand Rapids, Michigan 49546",BioLife Plasma Services,616-285-7900
"540 Center Drive, Walker, Michigan 49544",BioLife Plasma Services,616-647-4672
